"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"India","IND","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2061","2842","5704","7880","10941","15313","50723","164791","254032","531807","662298","746969","1040120","1389294",
"No clasificado","INX","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4375","6907","11346","12215","13078","15020","55844","185553","338734","470811","577386","582249","702503","796381",
"Irán, República Islámica del","IRN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","127","179","238","404","963","5102","18208","40458","85822","203430","275071","586797","597959",
"Iraq","IRQ","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","8","18","30","53","87","152","391","435","475","719","928","1356","1967",
"Islandia","ISL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","742","1043","1469","1788","2153","2518","11963","19793","22843","25566","27673","29409","32597","33593",
"Israel","ISR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3388","5056","7123","7740","8287","10936","18114","60711","85381","100634","113823","122034","124727","127299",
"Italia","ITA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7532","11306","18058","22587","29973","38140","79125","468800","740648","914642","1229028","1467886","1656567","1783922",
"Jamaica","JAM","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","91","147","203","245","351","354","401","451","426","475","502","518","542",
"Jordania","JOR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","131","250","294","346","426","669","1057","1025","1092","1385","1603","1740","2093",
"Japón","JPN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70810","86878","116093","134421","175217","191255","267900","758209","1476696","2361325","2884902","3233771","3620375","3947391",
"Kazajstán","KAZ","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57","91","202","296","465","845","4701","22227","25115","43674","62033","85736","99054","118202",
"Kenya","KEN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65","95","229","316","458","619","942","1837","11164","13047","12876","13848","15199","16443",
"Kirguistán","KGZ","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","8","38","44","82","136","257","639","1075","1859","2771","3533","4463","5796",
"Camboya","KHM","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","18","44","60","71","158","323","883","1318","2626","3152","2824","3156","3889",
"Kiribati","KIR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","1","1","1","3","3","5","1","5","5","7","3",
"Saint Kitts y Nevis","KNA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","72","38","33","61","38","46","162","234","289","331","347","439","385",
"Corea, República de","KOR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8688","10413","13470","17000","20634","28452","36928","61580","106574","234958","307856","379684","455851","503079",
"Kuwait","KWT","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","370","629","790","956","1276","1575","1964","1705","1844","1770","1747","1783","1871",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Democrática Popular Lao","LAO","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","6","12","17","22","28","57","114","144","224","384","613","2071","2101",
"Líbano","LBN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","160","272","339","454","547","592","813","1195","1415","1838","1950","1495","3903",
"Liberia","LBR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","2","2","4","4","10","9","11","24","31","35","44","51",
"Libia","LBY","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","9","36","36","40","926","6174","7345","7119","5093","1109","1257","820",
"Santa Lucía","LCA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9","20","23","25","25","33","35","46","55","69","63","129","126",
"América Latina y el Caribe","LCN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países de ingreso bajo","LIC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","272","358","429","535","579","661","904","1333","1826","2000","2432","2608","2637",
"Sri Lanka","LKA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","106","189","238","331","439","1507","6545","8937","7161","8422","10690","10792","10630",
"Países de ingreso mediano bajo","LMC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ingreso mediano y bajo","LMY","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","2","4","4","14","18","42","83","134","150","152","173","206",
"avanzada del dividendo demográfico","LTE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lituania","LTU","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549","757","1344","1882","2208","3443","12556","36934","51176","87889","131718","150863","188268","278256",
"Luxemburgo","LUX","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","606","800","1232","1765","2511","3133","6678","25651","26234","24716","28308","31491","41732","40306",
"Letonia","LVA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477","673","1141","1430","1824","2596","5758","23206","27952","38004","38634","42538","41856","49133",
"Región Administrativa Especial de Macao, China","MAC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113","145","215","240","297","453","681","1108","1674","2669","3920","3528","4079","3910",
"Isla de San Martín (parte francesa)","MAF","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","2","2","4","12","9","11","","15","14","30","35",
"Marruecos","MAR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","76","113","182","244","328","859","10115","10655","13479","16219","22282","20367","21406",
"Mónaco","MCO","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","51","82","143","155","208","273","373","412","519","752","609","891","1239",
"República de Moldova","MDA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","69","130","168","237","361","1852","10071","10610","12060","14705","17292","21282","28328",
"Madagascar","MDG","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","9","15","16","27","39","76","126","143","227","286","412","542","692",
"Maldivas","MDV","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","11","30","33","41","53","101","209","270","385","578","641","607","651",
"Oriente Medio y Norte de África","MEA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"México","MEX","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1531","2001","3146","3756","4930","7054","14758","23144","28487","34635","41615","44523","49116","53468",
"Islas Marshall","MHL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","2","1","2","1","3","6","8","20","61","7","4","6",
" Ingreso mediano","MIC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macedonia del Norte","MKD","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","46","94","135","203","239","971","1037","968","1438","2120","2841","3179","3396",
"Malí","MLI","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","14","16","25","39","57","142","201","203","217","267","339","334",
"Malta","MLT","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686","849","1091","1108","1246","1570","1473","6600","6986","5464","7445","3205","2710","2666",
"Myanmar","MMR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","5","9","37","55","1087","529","494","663","765","676","797","1092",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","17","30","36","43","59","87","139","259","430","487","575","789","1385",
"Mongolia","MNG","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","35","81","117","174","225","1337","4755","5357","5452","5687","6750","7513","8197",
"Mariana","MNP","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","12","12","24","24","26","23","14","14","78","93","98","99","92",
"Mozambique","MOZ","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","30","45","61","91","130","158","222","349","623","918","1021","1093","1248",
"Mauritania","MRT","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","4","1","2","1","14","14","18","24","33","65","65","123","174",
"Mauricio","MUS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","55","121","159","239","296","406","480","9926","652","1158","2490","2132","3110",
"Malawi","MWI","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","20","23","31","38","90","184","279","305","324","425","490","584",
"Malasia","MYS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1267","1650","2948","3604","4513","7079","29017","152966","180124","214828","242565","274197","292023","283909",
"América del Norte","NAC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","24","64","74","97","146","185","287","366","366","544","692","912","1154",
"Nueva Caledonia","NCL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","44","83","100","148","214","354","801","945","1329","1555","1718","1981","2217",
"Níger","NER","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","4","5","5","6","5","10","11","20","35","35","106","124",
"Nigeria","NGA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","155","290","382","528","643","8814","42529","36082","15036","15242","13450","10509","10847",
"Nicaragua","NIC","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","33","64","77","101","136","218","781","448","564","610","696","640","706",
"Países Bajos","NLD","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34640","53432","81309","95253","121508","164806","410955","1206251","1733183","2259681","2387096","2877760","3207131","3485374",
"Noruega","NOR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7614","11560","15056","16312","18347","21242","36660","76899","110946","193492","209961","237215","240937","208172",
"Nepal","NPL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","35","63","79","99","147","508","4372","5126","5404","6096","7952","10682","19082",
"Nauru","NRU","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","0","","","1","1","1","","4","5","3","5",
"Nueva Zelandia","NZL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6042","8913","12618","14188","15743","18074","30178","71815","86339","100186","104397","82091","94008","98767",
"Miembros OCDE","OED","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Omán","OMN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","81","212","281","401","497","573","662","757","908","1190","1226","1345","1411",
"Otros Estados pequeos","OSS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistán","PAK","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","146","240","328","479","680","6448","23923","23161","13549","16293","15743","28306","28057",
"Panamá","PAN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","488","617","877","990","1283","1217","2060","8835","8945","8039","6371","6729","9821","11687",
"Perú","PER","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","301","433","731","872","1130","1412","2243","6873","8232","12505","15020","19802","23486","25376",
"Filipinas","PHL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","474","674","1146","1233","1619","2139","4202","9239","9903","12035","12444","15116","11418","35099",
"Palau","PLW","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","3","2","3","3","4","15","13","17","19","25","24",
"Papua Nueva Guinea","PNG","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","18","47","60","88","109","123","262","429","498","","855","854","897",
"Polonia","POL","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5897","8655","15198","19695","25891","36309","94640","248163","616219","782319","954351","1161013","1280389","1369941",
"previa al dividendo demográfico","PRE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Puerto Rico","PRI","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354","496","609","665","730","1106","1430","941","1229","1347","1460","1613","1619","1489",
"Corea, República Popular Democrática de","PRK","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","0","1","","","2","164","84","104",
"Portugal","PRT","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1717","2256","3767","4420","5570","9336","32838","128391","164308","196988","228378","249968","288225","305997",
"Paraguay","PRY","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","54","96","154","219","271","418","1283","1728","2454","3391","4178","4236","4402",
"Ribera Occidental y Gaza","PSE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","20","46","60","88","139","472","2440","2143","2613","2573","2925","2612","2245",
"Estados pequeos de las Islas del Pacfico","PSS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"posterior al dividendo demográfico","PST","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Polinesia Francesa","PYF","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","21","35","42","49","58","72","165","206","302","345","449","567","650",
"Qatar","QAT","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115","193","380","486","691","923","963","1093","1103","1235","1247","1333","1362","1194",
"Rumania","ROU","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","1227","2635","3515","4912","7158","67411","240048","310378","371250","411782","445866","471223","511496",
"Federación de Rusia","RUS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2442","4126","8245","11442","17310","46313","168007","511677","749930","1348308","1923034","2346348","2875945","3394814",
"Rwanda","RWA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","8","27","44","63","84","149","219","449","900","1061","1327","1577","1802",
"Asia meridional","SAS","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arabia Saudita","SAU","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","359","577","1176","1556","2189","2836","3442","5521","5445","6256","7977","9434","10417","14342",
"Sudán","SDN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","16","14","22","29","52","79","193","184","282","409","467","107",
"Senegal","SEN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","13","28","30","43","92","106","136","272","316","441","706","787","835",
"Singapur","SGP","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2699","4810","10088","13765","13915","19844","106879","329385","477674","698581","729931","963602","1198709","1353061",
"Islas Salomón","SLB","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","7","9","8","13","23","39","28","38","43","71","65","63",
"Sierra Leona","SLE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","4","9","7","5","7","11","14","","41","52","82","94","113",
"El Salvador","SLV","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","99","139","175","216","286","331","393","582","608","876","965","1089","1147",
"San Marino","SMR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","37","50","69","94","112","156","635","2002","2531","3277","1298","1273","1095",
"Somalia","SOM","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3","2","4","7","11","378","65","132","71","91","100","185",
"Serbia","SRB","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","188","382","484","664","1001","3894","40739","48178","56061","64584","76637","79115","83769",
"África al sur del Sahara (excluido altos ingresos)","SSA","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sudán del Sur","SSD","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","2","15","38","46","44","58","44",
"África al sur del Sahara","SSF","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pequeños Estados","SST","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Santo Tomé y Príncipe","STP","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","1","2","2","3","3","8","12","13","7","9","7","9",
"Suriname","SUR","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","10","15","19","37","60","79","115","168","306","4164","3273","2447","873",
"República Eslovaca","SVK","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","738","1074","1934","2673","3564","5795","17600","37877","70772","109581","141484","170623","200435","216592",
"Eslovenia","SVN","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","684","1025","1990","2504","3213","4517","11628","40489","68476","88819","103255","116883","130661","135664",
"Suecia","SWE","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11265","16174","22775","25830","30531","41234","61582","136977","189345","264047","338969","402066","480359","558403",
"Eswatini","SWZ","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","7","9","11","21","29","29","46","61","107","128","106","134","172",
"Sint Maarten (Dutch part)","SXM","Servidores de Internet seguros","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","12","20","24","28","30","32","33","41","49","43","52",
